Name,Author,Link,Description
The Divine Comedy ,Dante Alighieri,https://thegreatestbooks.org/items/326,"
            Belonging in the immortal company of the great works of literature, Dante Alighieri's poetic masterpiece, The Divine Comedy, is a moving human drama, an unforgettable visionary journey through the infinite torment of Hell, up the arduous slopes of Purgatory, and on to the glorious realm of Paradise — the sphere of universal harmony and eternal salvation.
          "
Lolita ,Vladimir Nabokov,https://thegreatestbooks.org/items/50,"
            The book is internationally famous for its innovative style and infamous for its controversial subject: the protagonist and unreliable narrator, middle aged Humbert Humbert, becomes obsessed and sexually involved with a twelve-year-old girl named Dolores Haze.
          "
The Brothers Karamazov ,Fyodor Dostoyevsky,https://thegreatestbooks.org/items/215,"
            Dostoevsky's last and greatest novel, The Karamazov Brothers, is both a brilliantly told crime story and a passionate philosophical debate. The dissolute landowner Fyodor Pavlovich Karamazov is murdered; his sons — the atheist intellectual Ivan, the hot-blooded Dmitry, and the saintly novice Alyosha — are all at some level involved. Bound up with this intense family drama is Dostoevsky's exploration of many deeply felt ideas about the existence of God, the question of human freedom, the collective nature of guilt, the disastrous consequences of rationalism.

The novel is also richly comic: the Russian Orthodox Church, the legal system, and even the author's most cherished causes and beliefs are presented with a note of irreverence, so that orthodoxy and radicalism, sanity and madness, love and hatred, right and wrong are no longer mutually exclusive. Rebecca West considered it ""the allegory for the world's maturity, but with children to the fore."" This new translation does full justice to Dostoevsky's genius, particularly in the use of the spoken word, which ranges over every mode of human expression.
          "
Crime and Punishment ,Fyodor Dostoyevsky,https://thegreatestbooks.org/items/329,"
            It is a murder story, told from a murder;s point of view, that implicates even the most innocent reader in its enormities. It is a cat-and-mouse game between a tormented young killer and a cheerfully implacable detective. It is a preternaturally acute investigation of the forces that impel a man toward sin, suffering, and grace.

Ever since its publication in 1866 Crime and Punishment has intrigued readers and sorely tested translators, the best of whom seemed to capture one facet of Dostoevsky's masterpiece while missing the rest. 
          "
Wuthering Heights,Emily Brontë,https://thegreatestbooks.org/items/108,"
            The narrative is non-linear, involving several flashbacks, and two primary narrators: Mr. Lockwood and Ellen ""Nelly"" Dean. The novel opens in 1801, with Mr. Lockwood arriving at Thrushcross Grange, a grand house on the Yorkshire moors that he is renting from the surly Heathcliff, who lives at nearby Wuthering Heights. Lockwood is treated rudely, and coldly by the brooding, unsociable Heathcliff, and is forced to stay at Wuthering Heights for a night because one of the savage dogs of the Heights attacks him, and the weather turns against him. The housekeeper cautiously takes him to a chamber to sleep through the night and warns him to not speak to Heathcliff about where he is sleeping, for he would get in deep trouble.
          "
The Catcher in the Rye,J. D. Salinger,https://thegreatestbooks.org/items/19,"
            The Catcher in the Rye is a 1945 novel by J. D. Salinger. Originally published for adults, the novel has become a common part of high school and college curricula throughout the English-speaking world; it has also been translated into almost all of the world's major languages. Around 250,000 copies are sold each year, with total sales of more than sixty-five million. The novel's antihero, Holden Caulfield, has become an icon for teenage rebellion.
          "
Pride and Prejudice,Jane Austen,https://thegreatestbooks.org/items/102,"
            The book is narrated in free indirect speech following the main character Elizabeth Bennet as she deals with matters of upbringing, marriage, moral rightness and education in her aristocratic society. Though the book's setting is uniquely turn of the 19th century, it remains a fascination of modern readership, continuing to remain at the top of lists titled ""most loved books of all time"", and receiving considerable attention from literary critics. This modern interest has resulted in a number of dramatic adaptations and a plethora of books developing Austen's memorable characters further.
          "
The Adventures of Huckleberry Finn,Mark Twain,https://thegreatestbooks.org/items/217,"
            Revered by all of the town's children and dreaded by all of its mothers, Huckleberry Finn is indisputably the most appealing child-hero in American literature.

Unlike the tall-tale, idyllic world of Tom Sawyer, The Adventures of Huckleberry Finn is firmly grounded in early reality. From the abusive drunkard who serves as Huckleberry's father, to Huck's first tentative grappling with issues of personal liberty and the unknown, Huckleberry Finn endeavors to delve quite a bit deeper into the complexities — both joyful and tragic of life.
          "
Anna Karenina,Leo Tolstoy,https://thegreatestbooks.org/items/213,"
            Anna Karenina tells of the doomed love affair between the sensuous and rebellious Anna and the dashing officer, Count Vronsky. Tragedy unfolds as Anna rejects her passionless marriage and must endure the hypocrisies of society. Set against a vast and richly textured canvas of nineteenth-century Russia, the novel's seven major characters create a dynamic imbalance, playing out the contrasts of city and country life and all the variations on love and family happiness.

While previous versions have softened the robust, and sometimes shocking, quality of Tolstoy's writing, Pevear and Volokhonsky have produced a translation true to his powerful voice. This award-winning team's authoritative edition also includes an illuminating introduction and explanatory notes. Beautiful, vigorous, and eminently readable, this Anna Karenina will be the definitive text for generations to come.
          "
Alice's Adventures in Wonderland ,Lewis Carroll,https://thegreatestbooks.org/items/211,"
            In 1862 Charles Lutwidge Dodgson, a shy Oxford mathematician with a stammer, created a story about a little girl tumbling down a rabbit hole. Thus began the immortal adventures of Alice, perhaps the most popular heroine in English literature. Countless scholars have tried to define the charm of the Alice books–with those wonderfully eccentric characters the Queen of Hearts, Tweedledum, and Tweedledee, the Cheshire Cat, Mock Turtle, the Mad Hatter et al.–by proclaiming that they really comprise a satire on language, a political allegory, a parody of Victorian children’s literature, even a reflection of contemporary ecclesiastical history. Perhaps, as Dodgson might have said, Alice is no more than a dream, a fairy tale about the trials and tribulations of growing up–or down, or all turned round–as seen through the expert eyes of a child.
          "
The Iliad,Homer,https://thegreatestbooks.org/items/407,"
            The Iliad is an epic poem in dactylic hexameters, traditionally attributed to Homer. Set in the Trojan War, the ten-year siege of Ilium by a coalition of Greek states, it tells of the battles and events during the weeks of a quarrel between King Agamemnon and the warrior Achilles. Although the story covers only a few weeks in the final year of the war, the Iliad mentions or alludes to many of the Greek legends about the siege.

Along with the Odyssey, also attributed to Homer, the Iliad is among the oldest extant works of Western literature, and its written version is usually dated to around the eighth century BC. The Iliad contains approximately 15,700 lines, and is written in a literary amalgam of several Greek dialects. The authorship of the poem is disputed.
          "
To the Lighthouse ,Virginia Woolf,https://thegreatestbooks.org/items/92,"
            A landmark novel of high modernism, the text, centering on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920, skillfully manipulates temporality and psychological exploration. The novel includes little dialogue and almost no action; most of it is written as thoughts and observations. The novel recalls the power of childhood emotions and highlights the impermanence of adult relationships. Among the book's many tropes and themes are those of loss, subjectivity, and the problem of perception.
          "
Catch-22 ,Joseph Heller,https://thegreatestbooks.org/items/18,"
            Catch-22 is a satirical, historical novel by the American author Joseph Heller, first published in 1961. The novel, set during the later stages of World War II from 1943 onwards, is frequently cited as one of the great literary works of the twentieth century. It has a distinctive non-chronological style where events are described from different characters' points of view and out of sequence so that the time line develops along with the plot.
          "
Heart of Darkness,Joseph Conrad,https://thegreatestbooks.org/items/135,"
            The story details an incident when Marlow, an Englishman, took a foreign assignment from a Belgian trading company as a ferry-boat captain in Africa. Although Conrad does not specify the name of the river, at this time Congo Free State, the location of the large and important Congo River, was a private colony of Belgium's King Leopold II. Marlow is employed to transport ivory downriver; however, his more pressing assignment is to return Kurtz, another ivory trader, to civilization in a cover up. Kurtz has a reputation throughout the region.
          "
The Sound and the Fury,William Faulkner,https://thegreatestbooks.org/items/85,"
            The Sound and the Fury is set in the fictional Yoknapatawpha County. The novel centers on the Compson family, former Southern aristocrats who are struggling to deal with the dissolution of their family and its reputation. The novel is separated into four distinct sections.
          "
Nineteen Eighty Four,George Orwell,https://thegreatestbooks.org/items/64,"
            The story follows the life of one seemingly insignificant man, Winston Smith, a civil servant assigned the task of perpetuating the regime's propaganda by falsifying records and political literature so that it appears that the government is always correct in what it says. Smith grows disillusioned with his meager existence and so begins a rebellion against the system that leads to his arrest, torture, and conversion.
          "
Great Expectations,Charles Dickens,https://thegreatestbooks.org/items/112,"
            Great Expectations is written in the genre of ""bildungsroman"" or the style of book that follows the story of a man or woman in their quest for maturity, usually starting from childhood and ending in the main character's eventual adulthood. Great Expectations is the story of the orphan Pip, writing his life from his early days of childhood until adulthood and trying to be a gentleman along the way. The story can also be considered semi-autobiographical of Dickens, like much of his work, drawing on his experiences of life and people.
          "
One Thousand and One Nights,India/Iran/Iraq/Egypt,https://thegreatestbooks.org/items/489,"
            One Thousand and One Nights is a collection of Middle Eastern and South Asian stories and folk tales compiled in Arabic during the Islamic Golden Age. It is often known in English as the Arabian Nights, from the first English language edition (1706), which rendered the title as The Arabian Nights' Entertainment.

The original concept is most likely derived from an ancient Sassanid Persian prototype that relied partly on Indian elements,[2] but the work as we have it was collected over many centuries by various authors, translators and scholars across the Middle East and North Africa. The tales themselves trace their roots back to ancient and medieval Arabic, Persian, Indian, Egyptian and Mesopotamian folklore and literature. In particular, many tales were originally folk stories from the Caliphate era, while others, especially the frame story, are most probably drawn from the Pahlavi Persian work Hazār Afsān. Though the oldest Arabic manuscript dates from the 14th century, scholarship generally dates the collection's genesis to around the 9th century.
What is common throughout all the editions of the Nights is the initial frame story of the ruler Shahryar (from Persian: شهريار, meaning ""king"" or ""sovereign"") and his wife Scheherazade (from Persian: شهرزاده, meaning ""townswoman"") and the framing device incorporated throughout the tales themselves. The stories proceed from this original tale; some are framed within other tales, while others begin and end of their own accord. Some editions contain only a few hundred nights, while others include 1,001 or more.

Some of the best-known stories of The Nights, particularly ""Aladdin's Wonderful Lamp"", ""Ali Baba and the Forty Thieves"" and ""The Seven Voyages of Sinbad the Sailor"", while almost certainly genuine Middle-Eastern folk tales, were not part of The Nights in Arabic versions, but were interpolated into the collection by its early European translators.
          "
The Grapes of Wrath ,John Steinbeck,https://thegreatestbooks.org/items/36,"
            Set during the Great Depression, the novel focuses on a poor family of sharecroppers, the Joads, driven from their home by drought, economic hardship, and changes in the agriculture industry. In a nearly hopeless situation, they set out for California's Salinas Valley along with thousands of other ""Okies"" in search of land, jobs and dignity.
          "
"Absalom, Absalom!",William Faulkner,https://thegreatestbooks.org/items/444,"
            Absalom, Absalom! is a Southern Gothic novel by the American author William Faulkner, first published in 1936. It is a story about three families of the American South, taking place before, during, and after the Civil War, with the focus of the story on the life of Thomas Sutpen.
          "
Invisible Man ,Ralph Ellison,https://thegreatestbooks.org/items/47,"
            The novel addresses many of the social and intellectual issues facing African-Americans in the early twentieth century, including black nationalism, the relationship between black identity and Marxism, and the reformist racial policies of Booker T. Washington, as well as issues of individuality and personal identity.
          "
To Kill a Mockingbird ,Harper Lee,https://thegreatestbooks.org/items/91,"
            As a Southern Gothic novel and a Bildungsroman, the primary themes of To Kill a Mockingbird involve racial injustice and the destruction of innocence. Scholars have noted that Lee also addresses issues of class, courage and compassion, and gender roles in the American Deep South. The story takes place during three years of the Great Depression in the fictional ""tired old town"" of Maycomb, Alabama. The narrator, six-year-old Scout Finch, lives with her older brother Jem and their widowed father Atticus, a middle-aged lawyer.


          "
The Trial,Franz Kafka,https://thegreatestbooks.org/items/258,"
            Written in 1914, The Trial is one of the most important novels of the twentieth century: the terrifying tale of Josef K., a respectable bank officer who is suddenly and inexplicably arrested and must defend himself against a charge about which he can get no information. Whether read as an existential tale, a parable, or a prophecy of the excesses of modern bureaucracy wedded to the madness of totalitarianism, Kafka's nightmare has resonated with chilling truth for generations of readers. This new edition is based upon the work of an international team of experts who have restored the text, the sequence of chapters, and their division to create a version that is as close as possible to the way the author left it.
In his brilliant translation, Breon Mitchell masterfully reproduces the distinctive poetics of Kafka's prose, revealing a novel that is as full of energy and power as it was when it was first written.

          "
The Red and the Black,Stendhal,https://thegreatestbooks.org/items/485,"
            Le Rouge et le Noir (The Red and the Black), subtitled Chronique du XIXe siécle (""Chronicle of the 19th century""), is an historical psychological novel in two volumes by Stendhal, published in 1830.

It is often cited as the first realist novel. The title has been translated into English variously as Scarlet and Black, Red and Black and The Red and the Black. It is set in the period from the end of September,1826 to the end of July,1831, and relates a young man's attempts to rise above his plebeian birth through a combination of talent, hard work, deception and hypocrisy, only to find himself betrayed by his own passions.
          "
Middlemarch,George Eliot,https://thegreatestbooks.org/items/410,"
            Middlemarch: A Study of Provincial Life is a novel by George Eliot, the pen name of Mary Anne Evans, later Marian Evans. It is her seventh novel, begun in 1869 and then put aside during the final illness of Thornton Lewes, the son of her companion George Henry Lewes. During the following year Eliot resumed work, fusing together several stories into a coherent whole, and during 1871–72 the novel appeared in serial form. The first one-volume edition was published in 1874, and attracted large sales.

Subtitled ""A Study of Provincial Life"", the novel is set in the fictitious Midlands town of Middlemarch during the period 1830–32. It has a multiple plot with a large cast of characters, and in addition to its distinct though interlocking narratives it pursues a number of underlying themes, including the status of women, the nature of marriage, idealism and self-interest, religion and hypocrisy, political reform, and education. The pace is leisurely, the tone is mildly didactic (with an authorial voice that occasionally bursts through the narrative), and the canvas is very broad.
          "
Gulliver's Travels,Jonathan Swift,https://thegreatestbooks.org/items/193,"
            From the preeminent prose satirist in the English language, a great classic recounting the four remarkable journeys of ship's surgeon Lemuel Gulliver. For children it remains an enchanting fantasy; for adults, a witty parody of political life in Swift's time and a scathing send-up of manners and morals in 18th-century England.
          "
Beloved,Toni Morrison,https://thegreatestbooks.org/items/10,"
            Beloved (1987) is a Pulitzer Prize-winning novel by Nobel laureate Toni Morrison. The novel, her fifth, is loosely based on the life and legal case of the slave Margaret Garner, about whom Morrison later wrote in the opera Margaret Garner (2005). The book's epigraph reads: ""Sixty Million and more,"" by which Morrison refers to the estimated number of slaves who died in the slave trade.
          "
Mrs. Dalloway ,Virginia Woolf,https://thegreatestbooks.org/items/59,"
            Created from two short stories, ""Mrs Dalloway in Bond Street"" and the unfinished ""The Prime Minister"", the novel's story is of Clarissa's preparations for a party of which she is to be hostess. With the interior perspective of the novel, the story travels forwards and back in time, and in and out of the characters' minds, to construct a complete image of Clarissa's life and of the inter-war social structure.
          "
The Stories of Anton Chekhov,Anton Chekhov,https://thegreatestbooks.org/items/1484,"
            Anton Pavlovich Chekhov was a Russian short-story writer, playwright and physician, considered to be one of the greatest short-story writers in the history of world literature. His career as a dramatist produced four classics and his best short stories are held in high esteem by writers and critics. Chekhov practised as a doctor throughout most of his literary career: ""Medicine is my lawful wife,"" he once said, ""and literature is my mistress.""
          "
The Stranger ,Albert Camus,https://thegreatestbooks.org/items/322,"
            Since it was first published in English, in 1946, Albert Camus's extraordinary first novel, The Stranger (L'Etranger), has had a profound impact on millions of American readers. Through this story of an ordinary man who unwittingly gets drawn into a senseless murder on a sun-drenched Algerian beach, Camus was exploring what he termed ""the nakedness of man faced with the absurd.""
          "
Jane Eyre,Charlotte Bronte,https://thegreatestbooks.org/items/107,"
            Jane Eyre is a first-person narrative of the title character, a small, plain-faced, intelligent and honest English orphan. The novel goes through five distinct stages: Jane's childhood at Gateshead, where she is abused by her aunt and cousins; her education at Lowood School, where she acquires friends and role models but also suffers privations; her time as the governess of Thornfield Manor, where she falls in love with her Byronic employer, Edward Rochester; her time with the Rivers family at Marsh's End (or Moor House) and Morton, where her cold clergyman-cousin St John Rivers proposes to her; and her reunion with and marriage to her beloved Rochester at his house of Ferndean. Partly autobiographical, the novel abounds with social criticism and sinister gothic elements.
          "
The Aeneid,Virgil,https://thegreatestbooks.org/items/491,"
            The Aeneid is a Latin epic poem written by Virgil in the late 1st century BC (29–19 BC) that tells the legendary story of Aeneas, a Trojan who traveled to Italy, where he became the ancestor of the Romans. It is written in dactylic hexameter. The first six of the poem's twelve books tell the story of Aeneas' wanderings from Troy to Italy, and the poem's second half tells of the Trojans' ultimately victorious war upon the Latins, under whose name Aeneas and his Trojan followers are destined to be subsumed.

The hero Aeneas was already known to Greco-Roman legend and myth, having been a character in the Iliad; Virgil took the disconnected tales of Aeneas' wanderings, his vague association with the foundation of Rome and a personage of no fixed characteristics other than a scrupulous piety, and fashioned this into a compelling founding myth or nationalist epic that at once tied Rome to the legends of Troy, glorified traditional Roman virtues and legitimized the Julio-Claudian dynasty as descendants of the founders, heroes and gods of Rome and Troy.
          "
Collected Fiction,Jorge Luis Borges,https://thegreatestbooks.org/items/321,"
            From his 1935 debut with The Universal History of Iniquity, through his immensely influential collections Ficciones and The Aleph, these enigmatic, elaborate, imaginative inventions display Borges's talent for turning fiction on its head by playing with form and genre and toying with language. Together these incomparable works comprise the perfect one-volume compendium for all those who have long loved Borges, and a superb introduction to the master's work for those who have yet to discover this singular genius.

          "
The Sun Also Rises ,Ernest Hemingway,https://thegreatestbooks.org/items/88,"
            The novel explores the lives and values of the so-called ""Lost Generation,"" chronicling the experiences of Jake Barnes and several acquaintances on their pilgrimage to Pamplona for the annual San Fermin festival and bull fights, known more commonly as the Running of the Bulls. Jake, a World War I veteran, is unable to consummate a sexual relationship with Brett Ashley because of a severe wound suffered when his fighter plane crashed on the Italian Front, leaving him emasculated. However, he is still attracted to and in love with her. The story follows Jake and his various companions across France and Spain.
          "
David Copperfield,Charles Dickens,https://thegreatestbooks.org/items/205,"
            The story of the abandoned waif who learns to survive through challenging encounters with distress and misfortune.
          "
Tristram Shandy,Laurence Sterne,https://thegreatestbooks.org/items/196,"
            As its title suggests, the book is ostensibly Tristram's narration of his life story. But it is one of the central jokes of the novel that he cannot explain anything simply, that he must make explanatory diversions to add context and colour to his tale, to the extent that we do not even reach Tristram's own birth until Volume III.
          "
Leaves of Grass,Walt Whitman,https://thegreatestbooks.org/items/492,"
            Leaves of Grass (1855) is a poetry collection by the American poet Walt Whitman. Among the poems in the collection are ""Song of Myself,"" ""I Sing the Body Electric,"" ""Out of the Cradle Endlessly Rocking,"" and in later editions, Whitman's elegy to the assassinated President Abraham Lincoln, ""When Lilacs Last in the Dooryard Bloom'd."" Whitman spent his entire life writing Leaves of Grass, revising it in several editions until his death.
          "
The Magic Mountain,Thomas Mann,https://thegreatestbooks.org/items/466,"
            The Magic Mountain is a novel by Thomas Mann, first published in November 1924. It is widely considered to be one of the most influential works of 20th century German literature.
          "
A Portrait of the Artist as a Young Man ,James Joyce,https://thegreatestbooks.org/items/125,"
            A Portrait of the Artist as a Young Man is a semi-autobiographical novel by James Joyce, first serialized in The Egoist from 1914 to 1915 and published in book form in 1916. It depicts the formative years in the life of Stephen Dedalus, a fictional alter ego of Joyce and a pointed allusion to the consummate craftsman of Greek mythology, Daedalus.
          "
Midnight's Children ,Salman Rushdie,https://thegreatestbooks.org/items/56,"
            Midnight's Children is a loose allegory for events in India both before and, primarily, after the independence and partition of India, which took place at midnight on 15 August 1947. The protagonist and narrator of the story is Saleem Sinai, a telepath with an extraordinary nose. The novel is divided into three books.
          "
